data,game
2024-09-21 20:00:00,Buffalo Sabres x Pittsburgh Penguins
2024-09-21 20:00:00,Dallas Stars x St. Louis Blues
2024-09-21 21:00:00,Minnesota Wild x Winnipeg Jets
2024-09-22 15:00:00,Florida Panthers x Nashville Predators
2024-09-22 16:00:00,Philadelphia Flyers x Washington Capitals
2024-09-22 18:00:00,Boston Bruins x New York Rangers
2024-09-22 19:00:00,Florida Panthers x Nashville Predators
2024-09-22 19:00:00,Edmonton Oilers x Winnipeg Jets
2024-09-22 20:00:00,New Jersey Devils x New York Rangers
2024-09-22 20:00:00,Ottawa Senators x Toronto Maple Leafs
2024-09-22 20:00:00,St. Louis Blues x Utah HC
2024-09-22 21:00:00,San Jose Sharks x Vegas Golden Knights
2024-09-22 23:00:00,Calgary Flames x Seattle Kraken
2024-09-23 20:00:00,Buffalo Sabres x Columbus Blue Jackets
2024-09-23 20:00:00,Montreal Canadiens x Philadelphia Flyers
2024-09-23 22:00:00,Calgary Flames x Edmonton Oilers
2024-09-23 22:00:00,Colorado Avalanche x Dallas Stars
2024-09-23 22:00:00,Calgary Flames x Edmonton Oilers
2024-09-23 22:00:00,Los Angeles Kings x Utah HC
2024-09-24 20:00:00,Buffalo Sabres x Pittsburgh Penguins
2024-09-24 20:00:00,Carolina Hurricanes x Tampa Bay Lightning
2024-09-24 20:00:00,Montreal Canadiens x New Jersey Devils
2024-09-24 20:00:00,New York Rangers x New York Rangers
2024-09-24 20:00:00,Ottawa Senators x Toronto Maple Leafs
2024-09-24 20:00:00,Boston Bruins x Washington Capitals
2024-09-24 23:00:00,Anaheim Ducks x San Jose Sharks
2024-09-24 23:00:00,Seattle Kraken x Vancouver Canucks
2024-09-25 20:00:00,Columbus Blue Jackets x St. Louis Blues
2024-09-25 20:00:00,Florida Panthers x Tampa Bay Lightning
2024-09-25 20:00:00,New Jersey Devils x Washington Capitals
2024-09-25 21:00:00,Chicago Blackhawks x Detroit Red Wings
2024-09-25 21:00:00,Edmonton Oilers x Winnipeg Jets
2024-09-25 21:00:00,Dallas Stars x Minnesota Wild
2024-09-25 23:00:00,Calgary Flames x Vancouver Canucks
2024-09-25 23:00:00,Los Angeles Kings x Vegas Golden Knights
2024-09-26 20:00:00,Boston Bruins x New York Rangers
2024-09-26 20:00:00,Buffalo Sabres x Ottawa Senators
2024-09-26 20:00:00,Montreal Canadiens x Toronto Maple Leafs
2024-09-26 20:00:00,New York Rangers x Philadelphia Flyers
2024-09-26 23:00:00,Anaheim Ducks x San Jose Sharks
2024-09-27 20:00:00,Chicago Blackhawks x Detroit Red Wings
2024-09-27 20:00:00,Columbus Blue Jackets x Washington Capitals
2024-09-27 20:00:00,Carolina Hurricanes x Florida Panthers
2024-09-27 20:00:00,Nashville Predators x Tampa Bay Lightning
2024-09-27 20:00:00,New Jersey Devils x New York Rangers
2024-09-27 21:00:00,Colorado Avalanche x Dallas Stars
2024-09-27 21:00:00,Minnesota Wild x Winnipeg Jets
2024-09-27 23:00:00,Utah HC x Vegas Golden Knights
2024-09-27 23:00:00,Seattle Kraken x Vancouver Canucks
2024-09-28 19:00:00,Anaheim Ducks x Los Angeles Kings
2024-09-28 20:00:00,Boston Bruins x Philadelphia Flyers
2024-09-28 20:00:00,Buffalo Sabres x Columbus Blue Jackets
2024-09-28 20:00:00,Carolina Hurricanes x Florida Panthers
2024-09-28 20:00:00,Detroit Red Wings x Pittsburgh Penguins
2024-09-28 20:00:00,Montreal Canadiens x Toronto Maple Leafs
2024-09-28 20:00:00,Chicago Blackhawks x St. Louis Blues
2024-09-28 21:00:00,Nashville Predators x Tampa Bay Lightning
2024-09-28 22:00:00,Edmonton Oilers x Seattle Kraken
2024-09-28 22:00:00,Calgary Flames x Vancouver Canucks
2024-09-29 19:00:00,Dallas Stars x Minnesota Wild
2024-09-29 20:00:00,Ottawa Senators x Pittsburgh Penguins
2024-09-29 20:00:00,Colorado Avalanche x Utah HC
2024-09-30 20:00:00,Buffalo Sabres x Detroit Red Wings
2024-09-30 20:00:00,New Jersey Devils x New York Rangers
2024-09-30 20:00:00,New York Rangers x Philadelphia Flyers
2024-09-30 20:00:00,Florida Panthers x Tampa Bay Lightning
2024-09-30 20:00:00,Columbus Blue Jackets x Washington Capitals
2024-09-30 22:00:00,Calgary Flames x Seattle Kraken
2024-09-30 22:00:00,Edmonton Oilers x Vancouver Canucks
2024-09-30 23:00:00,Anaheim Ducks x Los Angeles Kings
2024-10-01 20:00:00,Detroit Red Wings x Pittsburgh Penguins
2024-10-01 20:00:00,New Jersey Devils x New York Rangers
2024-10-01 20:00:00,Montreal Canadiens x Ottawa Senators
2024-10-01 20:00:00,Boston Bruins x Philadelphia Flyers
2024-10-01 21:00:00,Chicago Blackhawks x Minnesota Wild
2024-10-01 21:00:00,Columbus Blue Jackets x St. Louis Blues
2024-10-01 22:30:00,Colorado Avalanche x Vegas Golden Knights
2024-10-01 23:00:00,San Jose Sharks x Utah HC
2024-10-02 20:00:00,Florida Panthers x Tampa Bay Lightning
2024-10-02 20:00:00,Carolina Hurricanes x Nashville Predators
2024-10-02 21:00:00,Calgary Flames x Winnipeg Jets
2024-10-02 23:00:00,Edmonton Oilers x Seattle Kraken
2024-10-02 23:00:00,Anaheim Ducks x Utah HC
2024-10-03 20:00:00,New Jersey Devils x Philadelphia Flyers
2024-10-03 20:00:00,Columbus Blue Jackets x Pittsburgh Penguins
2024-10-03 20:00:00,Detroit Red Wings x Toronto Maple Leafs
2024-10-03 20:00:00,Boston Bruins x Los Angeles Kings
2024-10-03 21:00:00,Dallas Stars x St. Louis Blues
2024-10-03 23:00:00,Colorado Avalanche x Vegas Golden Knights
2024-10-04 14:00:00,Buffalo Sabres x New Jersey Devils
2024-10-04 20:00:00,Columbus Blue Jackets x Pittsburgh Penguins
2024-10-04 20:00:00,New York Rangers x New York Rangers
2024-10-04 20:00:00,Detroit Red Wings x Ottawa Senators
2024-10-04 20:00:00,Carolina Hurricanes x Tampa Bay Lightning
2024-10-04 21:30:00,Chicago Blackhawks x Minnesota Wild
2024-10-04 22:00:00,Calgary Flames x Winnipeg Jets
2024-10-04 23:00:00,Anaheim Ducks x San Jose Sharks
2024-10-04 23:00:00,Edmonton Oilers x Vancouver Canucks
2024-10-05 11:00:00,Buffalo Sabres x New Jersey Devils
2024-10-05 18:00:00,Boston Bruins x Washington Capitals
2024-10-05 18:00:00,Carolina Hurricanes x Nashville Predators
2024-10-05 20:00:00,Detroit Red Wings x Toronto Maple Leafs
2024-10-05 20:00:00,Montreal Canadiens x Ottawa Senators
2024-10-05 20:00:00,Colorado Avalanche x Utah HC
2024-10-05 20:00:00,Florida Panthers x Los Angeles Kings
2024-10-05 21:00:00,Chicago Blackhawks x St. Louis Blues
2024-10-05 23:00:00,San Jose Sharks x Vegas Golden Knights
2024-10-08 17:30:00,Seattle Kraken x St. Louis Blues
2024-10-08 20:00:00,Boston Bruins x Florida Panthers
2024-10-08 23:00:00,Chicago Blackhawks x Utah HC
2024-10-09 20:00:00,Montreal Canadiens x Toronto Maple Leafs
2024-10-09 20:30:00,New York Rangers x Pittsburgh Penguins
2024-10-09 23:00:00,Edmonton Oilers x Winnipeg Jets
2024-10-09 23:00:00,Calgary Flames x Vancouver Canucks
2024-10-09 23:00:00,Colorado Avalanche x Vegas Golden Knights
2024-10-10 20:00:00,Boston Bruins x Montreal Canadiens
2024-10-10 20:00:00,Buffalo Sabres x Los Angeles Kings
2024-10-10 20:00:00,Florida Panthers x Ottawa Senators
2024-10-10 20:00:00,Detroit Red Wings x Pittsburgh Penguins
2024-10-10 20:00:00,New Jersey Devils x Toronto Maple Leafs
2024-10-10 20:30:00,New York Rangers x Utah HC
2024-10-10 21:00:00,Dallas Stars x Nashville Predators
2024-10-10 21:00:00,Columbus Blue Jackets x Minnesota Wild
2024-10-10 23:30:00,San Jose Sharks x St. Louis Blues
2024-10-11 20:00:00,Carolina Hurricanes x Tampa Bay Lightning
2024-10-11 21:00:00,Chicago Blackhawks x Winnipeg Jets
2024-10-11 23:00:00,Philadelphia Flyers x Vancouver Canucks
2024-10-11 23:00:00,St. Louis Blues x Vegas Golden Knights
2024-10-12 14:00:00,Boston Bruins x Los Angeles Kings
2024-10-12 20:00:00,Buffalo Sabres x Florida Panthers
2024-10-12 20:00:00,Pittsburgh Penguins x Toronto Maple Leafs
2024-10-12 20:00:00,Montreal Canadiens x Ottawa Senators
2024-10-12 20:00:00,Detroit Red Wings x Nashville Predators
2024-10-12 20:00:00,Carolina Hurricanes x Tampa Bay Lightning
2024-10-12 20:00:00,New York Rangers x Utah HC
2024-10-12 20:00:00,New Jersey Devils x Washington Capitals
2024-10-12 21:00:00,Dallas Stars x New York Rangers
2024-10-12 21:00:00,Minnesota Wild x Seattle Kraken
2024-10-12 22:00:00,Colorado Avalanche x Columbus Blue Jackets
2024-10-12 23:00:00,Calgary Flames x Philadelphia Flyers
2024-10-12 23:00:00,Chicago Blackhawks x Edmonton Oilers
2024-10-12 23:00:00,Anaheim Ducks x San Jose Sharks
2024-10-13 19:00:00,Minnesota Wild x Winnipeg Jets
2024-10-13 21:00:00,Dallas Stars x Seattle Kraken
2024-10-13 21:00:00,Calgary Flames x Edmonton Oilers
2024-10-13 23:00:00,Anaheim Ducks x Vegas Golden Knights
2024-10-14 14:00:00,Boston Bruins x Florida Panthers
2024-10-14 14:00:00,Los Angeles Kings x Ottawa Senators
2024-10-14 14:00:00,New Jersey Devils x Utah HC
2024-10-14 20:00:00,Detroit Red Wings x New York Rangers
2024-10-14 20:30:00,Montreal Canadiens x Pittsburgh Penguins
2024-10-14 22:00:00,Colorado Avalanche x New York Rangers
2024-10-15 20:00:00,Tampa Bay Lightning x Vancouver Canucks
2024-10-15 20:00:00,Vegas Golden Knights x Washington Capitals
2024-10-15 20:00:00,Carolina Hurricanes x New Jersey Devils
2024-10-15 20:00:00,Columbus Blue Jackets x Florida Panthers
2024-10-15 20:30:00,Minnesota Wild x St. Louis Blues
2024-10-15 21:00:00,Nashville Predators x Seattle Kraken
2024-10-15 21:00:00,Dallas Stars x San Jose Sharks
2024-10-15 22:00:00,Calgary Flames x Chicago Blackhawks
2024-10-15 23:00:00,Edmonton Oilers x Philadelphia Flyers
2024-10-16 20:00:00,Buffalo Sabres x Pittsburgh Penguins
2024-10-16 20:30:00,Los Angeles Kings x Toronto Maple Leafs
2024-10-16 22:30:00,Boston Bruins x Colorado Avalanche
2024-10-16 23:00:00,Anaheim Ducks x Utah HC
2024-10-17 20:00:00,Los Angeles Kings x Montreal Canadiens
2024-10-17 20:00:00,New Jersey Devils x Ottawa Senators
2024-10-17 20:00:00,Tampa Bay Lightning x Vegas Golden Knights
2024-10-17 20:00:00,Florida Panthers x Vancouver Canucks
2024-10-17 20:00:00,Dallas Stars x Washington Capitals
2024-10-17 20:00:00,Buffalo Sabres x Columbus Blue Jackets
2024-10-17 20:30:00,Detroit Red Wings x New York Rangers
2024-10-17 21:00:00,New York Rangers x St. Louis Blues
2024-10-17 21:00:00,Edmonton Oilers x Nashville Predators
2024-10-17 21:30:00,Chicago Blackhawks x San Jose Sharks
2024-10-17 23:00:00,Philadelphia Flyers x Seattle Kraken
2024-10-18 20:00:00,Carolina Hurricanes x Pittsburgh Penguins
2024-10-18 21:00:00,San Jose Sharks x Winnipeg Jets
2024-10-18 22:00:00,Anaheim Ducks x Colorado Avalanche
2024-10-19 14:00:00,Ottawa Senators x Tampa Bay Lightning
2024-10-19 15:00:00,Detroit Red Wings x Nashville Predators
2024-10-19 17:00:00,Dallas Stars x Edmonton Oilers
2024-10-19 19:00:00,Florida Panthers x Vegas Golden Knights
2024-10-19 20:00:00,New York Rangers x Toronto Maple Leafs
2024-10-19 20:00:00,New Jersey Devils x Washington Capitals
2024-10-19 20:00:00,Montreal Canadiens x New York Rangers
2024-10-19 20:00:00,Philadelphia Flyers x Vancouver Canucks
2024-10-19 20:00:00,Columbus Blue Jackets x Minnesota Wild
2024-10-19 20:00:00,Carolina Hurricanes x St. Louis Blues
2024-10-19 21:00:00,Buffalo Sabres x Chicago Blackhawks
2024-10-19 22:00:00,Boston Bruins x Utah HC
2024-10-19 23:00:00,Calgary Flames x Seattle Kraken
2024-10-20 16:00:00,Pittsburgh Penguins x Winnipeg Jets
2024-10-20 21:00:00,Colorado Avalanche x San Jose Sharks
2024-10-20 21:00:00,Anaheim Ducks x Los Angeles Kings
2024-10-21 20:30:00,Tampa Bay Lightning x Toronto Maple Leafs
2024-10-22 19:00:00,Philadelphia Flyers x Washington Capitals
2024-10-22 19:30:00,Florida Panthers x Minnesota Wild
2024-10-22 19:45:00,New Jersey Devils x Tampa Bay Lightning
2024-10-22 20:00:00,Buffalo Sabres x Dallas Stars
2024-10-22 20:15:00,Montreal Canadiens x New York Rangers
2024-10-22 20:30:00,Columbus Blue Jackets x Toronto Maple Leafs
2024-10-22 20:45:00,Detroit Red Wings x New York Rangers
2024-10-22 21:00:00,St. Louis Blues x Winnipeg Jets
2024-10-22 21:15:00,Chicago Blackhawks x Vancouver Canucks
2024-10-22 21:30:00,Colorado Avalanche x Seattle Kraken
2024-10-22 21:45:00,Boston Bruins x Nashville Predators
2024-10-22 22:00:00,Carolina Hurricanes x Edmonton Oilers
2024-10-22 22:15:00,Ottawa Senators x Utah HC
2024-10-22 22:30:00,Calgary Flames x Pittsburgh Penguins
2024-10-22 23:15:00,Anaheim Ducks x San Jose Sharks
2024-10-23 00:00:00,Los Angeles Kings x Vegas Golden Knights
2024-10-23 20:30:00,Philadelphia Flyers x Washington Capitals
2024-10-24 20:00:00,Boston Bruins x Dallas Stars
2024-10-24 20:00:00,St. Louis Blues x Toronto Maple Leafs
2024-10-24 20:00:00,Detroit Red Wings x New Jersey Devils
2024-10-24 20:00:00,Minnesota Wild x Tampa Bay Lightning
2024-10-24 20:00:00,Florida Panthers x New York Rangers
2024-10-24 22:00:00,Calgary Flames x Carolina Hurricanes
2024-10-24 22:00:00,Colorado Avalanche x Utah HC
2024-10-24 23:00:00,Seattle Kraken x Winnipeg Jets
2024-10-24 23:30:00,Los Angeles Kings x San Jose Sharks
2024-10-25 19:00:00,Ottawa Senators x Vegas Golden Knights
2024-10-25 20:00:00,New Jersey Devils x New York Rangers
2024-10-25 21:30:00,Chicago Blackhawks x Nashville Predators
2024-10-25 22:00:00,Edmonton Oilers x Pittsburgh Penguins
2024-10-26 14:00:00,Buffalo Sabres x Detroit Red Wings
2024-10-26 14:00:00,Minnesota Wild x Philadelphia Flyers
2024-10-26 17:00:00,Los Angeles Kings x Utah HC
2024-10-26 20:00:00,Boston Bruins x Toronto Maple Leafs
2024-10-26 20:00:00,Montreal Canadiens x St. Louis Blues
2024-10-26 20:00:00,Tampa Bay Lightning x Washington Capitals
2024-10-26 20:00:00,Anaheim Ducks x New York Rangers
2024-10-26 20:00:00,Calgary Flames x Winnipeg Jets
2024-10-26 20:30:00,Florida Panthers x New York Rangers
2024-10-26 21:00:00,Columbus Blue Jackets x Nashville Predators
2024-10-26 21:00:00,Chicago Blackhawks x Dallas Stars
2024-10-26 23:00:00,Pittsburgh Penguins x Vancouver Canucks
2024-10-26 23:00:00,San Jose Sharks x Vegas Golden Knights
2024-10-26 23:00:00,Carolina Hurricanes x Seattle Kraken
2024-10-27 19:00:00,Detroit Red Wings x Edmonton Oilers
2024-10-27 20:00:00,Anaheim Ducks x New Jersey Devils
2024-10-27 20:00:00,Montreal Canadiens x Philadelphia Flyers
2024-10-27 22:00:00,Colorado Avalanche x Ottawa Senators
2024-10-28 20:00:00,Buffalo Sabres x Florida Panthers
2024-10-28 20:00:00,Columbus Blue Jackets x Edmonton Oilers
2024-10-28 20:30:00,Nashville Predators x Tampa Bay Lightning
2024-10-28 20:30:00,Toronto Maple Leafs x Winnipeg Jets
2024-10-28 22:00:00,Chicago Blackhawks x Colorado Avalanche
2024-10-28 22:00:00,San Jose Sharks x Utah HC
2024-10-28 23:00:00,Carolina Hurricanes x Vancouver Canucks
2024-10-28 23:00:00,Calgary Flames x Vegas Golden Knights
2024-10-29 20:00:00,Boston Bruins x Philadelphia Flyers
2024-10-29 20:00:00,Montreal Canadiens x Seattle Kraken
2024-10-29 20:00:00,Ottawa Senators x St. Louis Blues
2024-10-29 20:00:00,Anaheim Ducks x New York Rangers
2024-10-29 20:00:00,Minnesota Wild x Pittsburgh Penguins
2024-10-29 20:30:00,New York Rangers x Washington Capitals
2024-10-29 23:00:00,Los Angeles Kings x San Jose Sharks
2024-10-30 20:00:00,Columbus Blue Jackets x New York Rangers
2024-10-30 20:30:00,Detroit Red Wings x Winnipeg Jets
2024-10-30 22:00:00,Colorado Avalanche x Tampa Bay Lightning
2024-10-30 22:30:00,Calgary Flames x Utah HC
2024-10-30 23:00:00,Los Angeles Kings x Vegas Golden Knights
2024-10-30 23:30:00,New Jersey Devils x Vancouver Canucks
2024-10-31 20:00:00,Seattle Kraken x Toronto Maple Leafs
2024-10-31 20:00:00,Philadelphia Flyers x St. Louis Blues
2024-10-31 20:00:00,Anaheim Ducks x Pittsburgh Penguins
2024-10-31 20:00:00,Montreal Canadiens x Washington Capitals
2024-10-31 20:00:00,Boston Bruins x Carolina Hurricanes
2024-10-31 21:00:00,Edmonton Oilers x Nashville Predators
2024-10-31 23:30:00,Chicago Blackhawks x San Jose Sharks
2024-11-01 15:00:00,Dallas Stars x Florida Panthers
2024-11-01 20:00:00,Buffalo Sabres x New York Rangers
2024-11-01 20:00:00,New York Rangers x Ottawa Senators
2024-11-01 20:00:00,Columbus Blue Jackets x Winnipeg Jets
2024-11-01 21:00:00,Minnesota Wild x Tampa Bay Lightning
2024-11-01 22:00:00,Calgary Flames x New Jersey Devils
2024-11-02 13:00:00,Dallas Stars x Florida Panthers
2024-11-02 14:00:00,Boston Bruins x Philadelphia Flyers
2024-11-02 17:00:00,Chicago Blackhawks x Los Angeles Kings
2024-11-02 18:00:00,Columbus Blue Jackets x Washington Capitals
2024-11-02 20:00:00,Ottawa Senators x Seattle Kraken
2024-11-02 20:00:00,Buffalo Sabres x Detroit Red Wings
2024-11-02 20:00:00,Montreal Canadiens x Pittsburgh Penguins
2024-11-02 20:00:00,St. Louis Blues x Toronto Maple Leafs
2024-11-02 21:00:00,Colorado Avalanche x Nashville Predators
2024-11-02 23:00:00,Utah HC x Vegas Golden Knights
2024-11-02 23:00:00,San Jose Sharks x Vancouver Canucks
2024-11-03 15:00:00,New York Rangers x New York Rangers
2024-11-03 17:00:00,Tampa Bay Lightning x Winnipeg Jets
2024-11-03 19:00:00,Boston Bruins x Seattle Kraken
2024-11-03 19:00:00,Carolina Hurricanes x Washington Capitals
2024-11-03 20:00:00,Minnesota Wild x Toronto Maple Leafs
2024-11-03 22:00:00,Calgary Flames x Edmonton Oilers
2024-11-03 22:00:00,Anaheim Ducks x Chicago Blackhawks
2024-11-04 22:00:00,Los Angeles Kings x Nashville Predators
2024-11-04 22:30:00,Edmonton Oilers x New Jersey Devils
2024-11-05 21:00:00,Buffalo Sabres x Ottawa Senators
2024-11-05 21:00:00,Boston Bruins x Toronto Maple Leafs
2024-11-05 21:00:00,Calgary Flames x Montreal Canadiens
2024-11-05 21:00:00,Carolina Hurricanes x Philadelphia Flyers
2024-11-05 21:30:00,New York Rangers x Pittsburgh Penguins
2024-11-05 22:00:00,St. Louis Blues x Tampa Bay Lightning
2024-11-05 22:00:00,Los Angeles Kings x Minnesota Wild
2024-11-05 22:00:00,Utah HC x Winnipeg Jets
2024-11-05 23:00:00,Colorado Avalanche x Seattle Kraken
2024-11-06 00:00:00,Anaheim Ducks x Vancouver Canucks
2024-11-06 00:30:00,Columbus Blue Jackets x San Jose Sharks
2024-11-06 21:00:00,Nashville Predators x Washington Capitals
2024-11-06 22:00:00,Chicago Blackhawks x Detroit Red Wings
2024-11-06 22:30:00,Edmonton Oilers x Vegas Golden Knights
2024-11-07 21:00:00,Boston Bruins x Calgary Flames
2024-11-07 21:00:00,New York Rangers x Ottawa Senators
2024-11-07 21:00:00,Florida Panthers x Nashville Predators
2024-11-07 21:00:00,Montreal Canadiens x New Jersey Devils
2024-11-07 21:00:00,Buffalo Sabres x New York Rangers
2024-11-07 21:00:00,Carolina Hurricanes x Pittsburgh Penguins
2024-11-07 21:30:00,Philadelphia Flyers x Tampa Bay Lightning
2024-11-07 22:00:00,St. Louis Blues x Utah HC
2024-11-07 22:00:00,Chicago Blackhawks x Dallas Stars
2024-11-07 22:00:00,Colorado Avalanche x Winnipeg Jets
2024-11-08 00:30:00,Los Angeles Kings x Vancouver Canucks
2024-11-08 00:30:00,Minnesota Wild x San Jose Sharks
2024-11-08 21:00:00,Detroit Red Wings x Toronto Maple Leafs
2024-11-08 21:30:00,Pittsburgh Penguins x Washington Capitals
2024-11-09 00:00:00,Anaheim Ducks x Minnesota Wild
2024-11-09 00:00:00,Seattle Kraken x Vegas Golden Knights
2024-11-09 15:00:00,Buffalo Sabres x Calgary Flames
2024-11-09 20:00:00,Florida Panthers x Philadelphia Flyers
2024-11-09 21:00:00,Boston Bruins x Ottawa Senators
2024-11-09 21:00:00,Montreal Canadiens x Toronto Maple Leafs
2024-11-09 21:00:00,Detroit Red Wings x New York Rangers
2024-11-09 21:00:00,St. Louis Blues x Washington Capitals
2024-11-09 21:00:00,Dallas Stars x Winnipeg Jets
2024-11-09 21:30:00,New Jersey Devils x New York Rangers
2024-11-09 22:00:00,Nashville Predators x Utah HC
2024-11-09 23:00:00,Carolina Hurricanes x Colorado Avalanche
2024-11-09 23:00:00,Columbus Blue Jackets x Los Angeles Kings
2024-11-10 00:00:00,Edmonton Oilers x Vancouver Canucks
2024-11-10 21:00:00,New Jersey Devils x San Jose Sharks
2024-11-10 21:00:00,Chicago Blackhawks x Minnesota Wild
2024-11-10 22:00:00,Anaheim Ducks x Columbus Blue Jackets
2024-11-11 14:30:00,Buffalo Sabres x Montreal Canadiens
2024-11-11 21:00:00,Philadelphia Flyers x San Jose Sharks
2024-11-11 21:00:00,Dallas Stars x Pittsburgh Penguins
2024-11-11 22:30:00,Calgary Flames x Los Angeles Kings
2024-11-11 23:00:00,Colorado Avalanche x Nashville Predators
2024-11-12 00:00:00,Carolina Hurricanes x Vegas Golden Knights
2024-11-12 21:00:00,Ottawa Senators x Toronto Maple Leafs
2024-11-12 21:00:00,New York Rangers x Winnipeg Jets
2024-11-12 21:30:00,Florida Panthers x New Jersey Devils
2024-11-12 22:00:00,Boston Bruins x St. Louis Blues
2024-11-12 23:00:00,Edmonton Oilers x New York Rangers
